V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
5199,21,10257,10057,116236,84448,7391,5452,7157,140690,1869,5460,1051,6935,0.9957,0,0,0.000499043237120068
5203,1869,4609,10052,10061,10067,10085,10092,10051,10131,10055,100132464,0.9974,0,0,0,0,0.000403391595912172
5208,2353,3725,7020,10164,10057,10112,10092,10036,10139,10165,10059,10130,0.9897,0,0,0,0.000427328707984738
5210,4609,10067,10061,10055,10197,100132464,10221,10036,10096,10128,10171,0.9905,0,0,0,0,0.000449639542374477
5214,1869,1958,4609,1012,10052,10067,10061,10092,10085,10055,10038,0.9987,0,0,0,0,0.000435812013677031
5224,4609,10067,10061,10055,10197,10221,100132464,10036,0.9901,0,0,0,0,0,0,0,0.000338834521738485
5225,367,4609,1012,10061,10067,10055,10036,10197,10111,0.9963,0,0,0,0,0,0,0.000360325716052694
5236,7020,10221,1020,10196,10130,1021,10128,10111,10092,10090,10165,0.9913,0,0,0,0,0.000461041748457472
5266,21,89845,10257,10057,116236,5452,4609,2625,1869,5460,3172,1958,7391,7157,7025,0.991,0.000634804049789907
5270,53335,1050,1879,4609,4783,1012,10174,10061,10067,10055,10038,10036,0.9969,0,0,0,0.000443888933643891
5271,7020,10092,10057,10196,10221,10059,10130,10016,1020,10121,0.9882,0,0,0,0,0,0.000353517186262338
5272,1958,2099,1012,10062,10044,10057,10188,10121,10156,10092,0.9966,0,0,0,0,0,0.000367414895670416
5274,4609,7020,10092,10067,10061,10055,10057,10059,10036,100132464,0.9929,0,0,0,0,0,0.000355014403738035
5279,2308,143941,10733,1369,10112,10154,1290,114907,11337,140609,0.9902,0,0,0,0,0,0.000197629707380764
528,467,1958,1959,1960,1012,10036,10092,0.9951,0,0,0,0,0,0,0,0,0.00036427277371186
5292,1869,1870,1875,144455,1959,10052,10085,10262,10092,10253,1003,10227,1021,10051,10270,0.9983,0.000552389746309984
5307,60468,1050,1958,1012,10164,10130,10134,10062,10092,1009,10013,10113,0.9968,0,0,0,0.000384810835332089
5319,9625,116236,84320,2182,4185,6257,144455,5452,1870,3172,5460,2186,0.9935,0,0,0,0.000392555466831626
5324,1958,3838,1012,10253,10249,0.9946,0,0,0,0,0,0,0,0,0,0,0.000201586517173142
5328,367,1869,1870,1958,2114,1012,10085,10052,10156,1018,1003,10062,10111,10048,10051,0.9982,0.000592463490233823
5332,21,340273,10257,10057,10060,2099,7391,1869,6775,5087,2625,4282,0.9877,0,0,0,0.000356680316848311
53335,134,10551,222,247,259173,1879,10552,158471,10171,1874,151313,10783,0.9895,0,0,0,0.000385165153210931
53340,1050,1958,1012,10062,0.9943,0,0,0,0,0,0,0,0,0,0,0,0.000220612239671922
53342,4773,4776,144455,10043,10971,1019,1050,10669,11278,1387,112398,0.9783,0,0,0,0,0.000442371641743814
53345,83543,84079,283373,358,467,10621,10471,10293,10194,11124,10782,10127,1062,0.9903,0,0,0.000471475768321349
53354,1958,2308,4609,1012,10061,10067,100132464,10112,0.9959,0,0,0,0,0,0,0,0.000312154319021487
53405,2625,10293,143941,10164,0.9942,0,0,0,0,0,0,0,0,0,0,0,0.000173424826320577
5346,1050,5563,6258,1012,1071,10221,1033,10449,10865,10922,10788,0.9949,0,0,0,0,0.000330288960909825
5347,675,2308,4171,4172,4176,114907,1029,10681,1030,113263,10733,10000,10869,114879,0.9901,0,0.000438462214920529
5348,1958,23462,4609,1012,10038,10067,10055,10061,100289635,10084,0.9971,0,0,0,0,0,0.000361105411892178
5349,53335,1879,1958,3164,1012,10038,10092,10036,10130,10128,10062,0.9962,0,0,0,0,0.000443443239878111
5350,10057,10449,414149,47,10965,6720,6778,2625,4205,0.9935,0,0,0,0,0,0,0.000254999580158743
5355,60468,2354,8061,2353,3726,10332,10486,10164,10112,10134,10216,0.9935,0,0,0,0,0.000441022871167131
5361,2353,10332,10164,10486,10112,0.9937,0,0,0,0,0,0,0,0,0,0,0.000186443472580103
5365,4602,1063,1033,11169,10051,10969,10213,116461,1191,142,0.9847,0,0,0,0,0,0.00033750369199499
53829,10257,10449,10965,130399,8751,9319,4087,5468,1869,4800,10664,405,1050,0.9925,0,0,0.000479457500247073
53905,53335,1879,10038,10552,10128,10171,10313,10103,10783,100289635,10133,10017,0.9913,0,0,0,0.000435480041160992
5396,53335,23764,4097,5460,11112,10783,10236,10552,10980,10861,10554,0.9902,0,0,0,0,0.000436873079881926
54058,1870,1958,2353,8022,7020,1012,10092,10057,10121,10044,10062,10095,10124,100131187,10013,0.9964,0.000539247126322982
54097,21,10257,10057,116236,36,5452,7391,0.9933,0,0,0,0,0,0,0,0,0.000219606047676839
54112,30,10449,6296,140,56895,5885,6257,3665,3174,23462,2353,1870,7391,0.9951,0,0,0.000332425749335413
54149,1958,7020,1012,10057,10130,10059,100131187,10099,10101,0.9956,0,0,0,0,0,0,0.000269422974107484
5420,1958,10249,1012,1019,10092,10054,10243,1020,10048,10253,0.9949,0,0,0,0,0,0.000428293673929385
54209,84448,176,23305,6296,130399,1958,2353,4790,7391,0.9894,0,0,0,0,0,0,0.000291267685852383
5422,1869,1958,1012,10052,10085,10092,0.9985,0,0,0,0,0,0,0,0,0,0.000281380270790323
5424,1958,4609,7020,10061,10067,10092,10057,100132464,10044,10062,10097,10016,10013,0.9924,0,0,0.000457470964660168
5427,1869,1870,10052,10085,10092,1029,10309,10253,10051,0.999,0,0,0,0,0,0,0.000383561411324735
54332,89845,84448,176,23305,6296,7025,7391,23462,0.9937,0,0,0,0,0,0,0,0.000192999969495337
54361,2735,2736,64399,2099,1869,144455,1870,0.9946,0,0,0,0,0,0,0,0,0.000288400094638754
54363,340273,10060,10965,2182,23305,6257,1958,6927,196,405,1523,5087,4800,2908,0.987,0,0.000437641588989315
5440,64754,6662,1284,1870,144455,1869,1848,2027,2122,1741,0.9969,0,0,0,0,0,0.000427244512680555
54407,7020,10092,10196,10057,10221,10059,1020,1021,10130,10016,10062,0.9907,0,0,0,0,0.000424271880101651
54437,2099,2625,4824,7020,10164,10188,10174,10121,10139,10092,10124,10059,10120,0.9931,0,0,0.000430900555907972
54443,3725,4609,7020,10061,10092,10067,10057,10055,10121,10016,100132464,10059,10124,0.9921,0,0,0.000485855171040595
5446,18,21,340273,10060,36,7391,3172,4609,4149,5087,0.9863,0,0,0,0,0,0.000251609239415437
54460,4609,10197,10061,10055,10067,100132464,10221,10062,10096,10036,0.9915,0,0,0,0,0,0.000391574126890937
54474,2099,10486,1020,10411,10401,111,10555,10987,11243,10763,11309,0.9937,0,0,0,0,0.000401857225494837
54509,4609,7020,10067,10061,10092,10055,10057,10036,10056,10059,100132464,10038,0.9933,0,0,0,0.000398473893805083
