V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
10003,1879,10128,10038,10171,10313,100289635,10227,10312,10169,10521,0.9906,0,0,0,0,0
100033416,83543,147685,9139,1690,10202,1879,1958,1870,144455,3297,1875,1869,4603,0.9901,0,0
10004,21,10257,10057,116236,30,5452,6257,0.9918,0,0,0,0,0,0,0,0
100049587,21,30,36,84320,6296,6257,6935,5885,0.9922,0,0,0,0,0,0,0
100129842,21,4363,10257,10057,116236,5452,5460,1869,4609,7391,0.9905,0,0,0,0,0
100132464,4609,10061,10067,10055,10221,10236,10038,1020,0.9915,0,0,0,0,0,0,0
100170229,176,11093,134,151,10551,6925,4208,6938,7391,10664,0.9965,0,0,0,0,0
10020,10057,10449,6296,72,112,3170,7391,23462,6772,10664,5885,0.9967,0,0,0,0
10024,4363,30,10449,32,36,6257,51085,6688,4609,4149,3172,6720,4800,0.9894,0,0
100270804,21,30,36,84320,6296,6257,5885,23462,2186,10009,1870,144455,6721,1869,4149,0.9951
10036,55723,641,8208,10926,1958,1012,10249,10062,10044,10253,10092,0.9964,0,0,0,0
10051,1869,1870,1875,144455,4602,10052,10092,10085,10253,1029,10124,0.9961,0,0,0,0
10052,1869,1029,10253,1021,10257,10085,10196,10220,10051,10092,0.9993,0,0,0,0,0
10053,18,21,36,134526,2182,6257,4149,1958,4609,3172,7391,5465,6256,10009,140690,0.9885
10057,2099,2625,7020,10164,10174,1020,10196,10092,10139,10059,10099,1021,10121,0.9903,0,0
10060,340273,10965,2182,23305,88,6257,9611,1958,4609,7391,5087,196,4800,8850,2908,0.9855
10067,4609,4783,10174,10061,10055,10062,10058,10197,10213,10131,10111,0.9903,0,0,0,0
10071,1958,1012,10249,10262,10092,10243,10253,10036,0.995,0,0,0,0,0,0,0
10083,9625,21,10257,10057,116236,5452,5460,1869,7391,0.9926,0,0,0,0,0,0
1009,53335,1050,4773,4776,5460,1012,1033,10449,0.9976,0,0,0,0,0,0,0
10092,1869,1958,7020,1012,10052,10085,10051,0.9986,0,0,0,0,0,0,0,0
10098,30,10449,6296,140,79841,3174,7391,5885,5087,2353,3170,23462,6772,0.9939,0,0
1010,8038,11174,133,84913,440603,5452,6257,2353,5460,4824,4205,144455,1870,1869,2308,0.9923
10112,2353,2308,10164,10332,10486,10216,1020,10163,10371,10000,10300,10101,0.9963,0,0,0
1012,367,1050,1958,10062,10013,10036,10130,10092,10208,10221,10016,10107,10156,0.9956,0,0
1014,1869,1870,1875,144455,2308,10052,10085,10092,10253,1029,10051,1000,0.9986,0,0,0
10144,21,4363,10257,10057,116236,5452,5460,1958,4609,7391,6775,1869,2625,0.9898,0,0
